left_shoulder,right_shoulder,left_hip,right_hip,results
81.61203309,124.3838903,64.756948,149.4738135,almost at right position
116.9007288,93.82469511,145.5726205,45.97551548,excellent
97.2270171,110.433364,44.20571111,147.8360315,excellent
111.8186718,106.8013468,35.27082458,145.7346979,excellent
91.41128909,113.1117811,41.98502223,144.9629391,excellent
87.7123523,139.4875514,61.99212707,169.0113908,good
135.424967,79.7321574,158.3273349,61.62161562,good
118.2981191,94.42700117,145.7181418,51.58418626,excellent
111.8186718,106.8013468,35.27082458,145.7346979,excellent
116.3694809,85.53712935,176.9962728,43.51045518,right leg is not properly positioned
84.86072858,139.9567228,127.4544622,116.5503574,good
121.4819064,89.59667593,145.4262402,65.03157223,excellent
129.2651292,80.85731275,170.8498356,63.85373007,right leg is not properly positioned
126.9165464,100.179964,103.3887937,103.2861997,good
128.7324413,100.7075764,144.7283167,57.0770326,excellent
131.7932513,85.00643693,149.8036217,61.90890035,excellent
97.2270171,110.433364,44.20571111,147.8360315,good
131.7932513,85.00643693,149.8036217,61.90890035,excellent
113.3280373,89.09162285,156.5880994,52.66841447,good
127.5200069,109.6806815,97.98978143,107.8451326,good
125.7742558,100.2826251,88.2090181,131.4633731,good
117.2657585,111.388389,86.46995957,93.15367093,good
85.63265057,123.8435635,142.8572021,83.70862906,good
108.4414921,112.8399784,47.78561277,141.5174699,excellent
110.5025573,103.9143516,39.70765638,125.3355227,excellent
98.158689,120.56677,52.51281361,151.9556404,excellent
142.0116579,61.89452125,177.1762281,84.23148196,right leg is not properly positioned
90.10021129,142.9307991,78.96242925,158.3721525,almost at right position
131.9270179,85.23725095,148.8006762,72.17258024,good
136.7475757,63.63794835,162.7028833,84.44585901,almost at right position
111,106,40,40,legs are not proper
73.94886486,5.921545229,171.0941156,173.7586209,you are not doing properly
14.71819639,17.14051657,172.7337511,175.1460524,you are not doing properly
