lefthand,righthand,leftleg,rightleg,leftshoulder,rightshoulder,results
170.3163926,161.2540054,148.6072372,100.4357412,65.0680427,131.2125979,good
176.7473333,176.4766834,105.6967018,93.73448134,65.26188628,60.25537308,excellent
170.0833635,164.6593115,88.51081573,121.8725505,55.57329338,70.7682179,good
179.9435887,164.7247423,147.6937352,63.44483837,87.34536027,146.3258216,good
177.4733718,171.4436965,136.4434121,81.18391924,66.10455906,42.92732204,good
176.9005796,172.3181633,120.0424371,85.65129149,75.11547297,64.99993857,good
173.7039206,175.850294,88.86817054,104.0666492,54.61153746,72.67446391,good
178.8633984,177.7834059,79.90213299,161.196656,67.50632335,70.26482905,good
166.169209,165.2809585,85.56294608,121.5778332,63.90016982,76.18117973,good
177.938081,177.6881268,101.1265471,94.74802088,57.41989398,51.95990465,good
179.8610093,176.1802031,96.23972971,175.8093316,67.93527197,75.54493822,good
178.7925217,178.685119,101.4795628,91.88057904,75.52603278,67.81177535,excellent
177.8923605,176.8640562,84.04521449,91.29534616,58.85227541,74.06138879,excellent
169.4859339,169.679729,93.59347543,89.31257201,83.56629832,69.07228531,excellent
173.0841194,172.4654551,84.98325618,173.0290404,160.597221,85.7575572,good
179.8305764,172.3345068,94.2946034,93.58632791,79.26171317,108.0708488,excellent
171.7978559,179.486423,87.67590056,90.50210418,74.49898168,65.77234012,excellent
171.7076015,172.0982203,67.00559395,84.33049437,69.34982776,62.0061543,excellent
170.0833635,164.6593115,88.51081573,121.8725505,55.57329338,70.7682179,good
177.7622198,179.8472507,66.5622254,101.6648486,72.86693515,62.29771021,excellent
169.6750924,163.6726331,75.59740123,112.6699758,67.18104673,74.35567082,excellent
170,170,90,90,90,90,bend any one leg
170,170,170,170,10,10,you are being stationary
153.7072787,140.6201323,30.37505045,26.40936114,6.446243429,6.117910904,you are just setting 
174.0365561,177.5519108,84.76742761,88.52355375,69.76951501,69.11619954,bend any one leg
95.56950931,106.6148244,119.701607,114.3358772,106.1078992,108.590625,you are not doing properly
142.2055791,143.7715951,13.21908289,18.93116072,19.41384905,4.423872101,you are just setting 
171.7605008,172.1782653,171.1295856,177.3019713,20.84833032,16.2527451,you are being stationary
